SNo,Season,Episode,DateAired,Title,Director,Writers,Viewers,IMDB_Rating,Votes
27,2,5,16-Oct-06,World's Greatest Couple,Pamela Fryman,Brenda Hsueh,9.05,8.8,3033
28,2,6,23-Oct-06,Aldrin Justice,Pamela Fryman,Jamie Rhonheimer,,8.1,2724
29,2,7,6-Nov-06,Swarley,Pamela Fryman,Greg Malins,8.22,9,3806
30,2,8,13-Nov-06,Atlantic City,Pamela Fryman,Maria Ferrari,9.33,8,2661
31,2,9,20-Nov-06,Slap Bet,Pamela Fryman,Kourtney Kang,8.85,9.5,5571
32,2,10,27-Nov-06,Single Stamina,Pamela Fryman,Kristen Newman,9.85,8.2,2725
33,2,11,11-Dec-06,How Lily Stole Christmas,Pamela Fryman,Brenda Hsueh,8.81,8.1,2696
34,2,12,8-Jan-07,First Time in New York,Pamela Fryman,Gloria Calderon Kellett,8.37,8.2,2773
35,2,13,22-Jan-07,Columns,Rob Greenberg,Matt Kuhn,9.42,8,2564
36,2,14,5-Feb-07,Monday Night Football,Rob Greenberg,"Carter Bays,Craig Thomas",10.61,8.4,2744
37,2,15,12-Feb-07,Lucky Penny,Pamela Fryman,Jamie Rhonheimer,9.68,8.4,2680
38,2,16,19-Feb-07,Stuff,Pamela Fryman,Kourtney Kang,8.95,8.5,2811
39,2,17,26-Feb-07,"Arrivederci, Fiero",Pamela Fryman,Chris Harris,9.33,8.3,2775
40,2,18,19-Mar-07,Moving Day,Pamela Fryman,Maria Ferrari,7.27,8.1,2561
41,2,19,9-Apr-07,Bachelor Party,Pamela Fryman,"Carter Bays,Craig Thomas",9.9,8.4,2690
42,2,20,30-Apr-07,Showdown,Pamela Fryman,Gloria Calderon Kellett,7.24,8.9,2936
43,2,21,7-May-07,Something Borrowed,Pamela Fryman,Greg Malins,7.69,8.8,2779
44,2,22,14-May-07,Something Blue,Pamela Fryman,"Carter Bays,Craig Thomas",9.9,8.8,2832
45,3,1,24-Sep-07,Wait for It,Pamela Fryman,"Carter Bays,Craig Thomas",8.12,,2836
46,3,2,1-Oct-07,We're Not from Here,Pamela Fryman,Chris Harris,7.88,7.7,2512
47,3,3,8-Oct-07,Third Wheel,Pamela Fryman,David Hemingson,7.96,8.1,2609
48,3,4,15-Oct-07,Little Boys,Rob Greenberg,Kourtney Kang,7.71,7.8,2506
49,3,5,22-Oct-07,How I Met Everyone Else,Pamela Fryman,Gloria Calderon Kellett,8.5,9,3468
50,3,6,29-Oct-07,I'm Not That Guy,Pamela Fryman,Jonathan Groff,8.55,8.1,2483
51,3,7,5-Nov-07,Dowisetrepla,Pamela Fryman,Brenda Hsueh,8.77,8,2522
52,3,8,12-Nov-07,Spoiler Alert,Pamela Fryman,Stephen Lloyd,8.58,9.1,3450
53,3,9,19-Nov-07,Slapsgiving,Pamela Fryman,Matt Kuhn,8.06,9,3321
54,3,10,26-Nov-07,The Yips,Pamela Fryman,Jamie Rhonheimer,,8,2549
55,3,11,10-Dec-07,The Platinum Rule,Pamela Fryman,"Carter Bays,Craig Thomas",8.49,8.5,2656
56,3,12,17-Mar-08,No Tomorrow,Pamela Fryman,"Carter Bays,Craig Thomas",9.73,8.2,2570
57,3,13,24-Mar-08,Ten Sessions,Pamela Fryman,"Chris Harris, Carter Bays,Craig Thomas",10.67,8.8,3072
58,3,14,31-Mar-08,The Bracket,Pamela Fryman,Joe Kelly,9.5,8.7,2695
59,3,15,14-Apr-08,The Chain of Screaming,Pamela Fryman,"Carter Bays,Craig Thomas",7.99,8,2463
60,3,16,21-Apr-08,Sandcastles in the Sand,Pamela Fryman,Kourtney Kang,8.45,8.3,2707
61,3,17,28-Apr-08,The Goat,Pamela Fryman,Stephen Lloyd,8.84,8.2,2481
62,3,18,5-May-08,Rebound Bro,Pamela Fryman,Jamie Rhonheimer,8.36,8.1,2450
63,3,19,12-May-08,Everything Must Go,Pamela Fryman,"Jonathan Groff,Chris Harris",8.93,7.8,2460
64,3,20,19-May-08,Miracles,Pamela Fryman,"Carter Bays,Craig Thomas",7.99,8.7,2667
65,4,1,22-Sep-08,Do I Know You?,Pamela Fryman,"Carter Bays,Craig Thomas",9.79,8.6,2866
66,4,2,29-Sep-08,The Best Burger in New York,Pamela Fryman,"Carter Bays,Craig Thomas",8.72,8.5,2989
67,4,3,6-Oct-08,I Heart NJ,Pamela Fryman,Greg Malins,8.97,7.7,2454
68,4,4,13-Oct-08,Intervention,Michael Shea,Stephen Lloyd,9.25,8.8,2920
69,4,5,20-Oct-08,Shelter Island,Pamela Fryman,Chris Harris,9.45,8.3,2556
70,4,6,3-Nov-08,Happily Ever After,Pamela Fryman,Jamie Rhonheimer,9.4,8,2442
71,4,7,10-Nov-08,Not a Father's Day,Pamela Fryman,Robia Rashid,9.79,7.9,2390
72,4,8,17-Nov-08,Woooo!,Pamela Fryman,"Carter Bays,Craig Thomas",9.99,8.1,2562
73,4,9,24-Nov-08,The Naked Man,Pamela Fryman,Joe Kelly,10.04,9.2,4075
74,4,10,8-Dec-08,The Fight,Pamela Fryman,Theresa Mulligan Rosenthal,10.49,8.3,2526
75,4,11,15-Dec-08,Little Minnesota,Pamela Fryman,Chuck Tatham,11.44,8.1,2495
76,4,12,12-Jan-09,Benefits,Pamela Fryman,Kourtney Kang,11.76,8.6,2693
77,4,13,19-Jan-09,Three Days of Snow,Pamela Fryman,Matt Kuhn,10.69,8.5,2649
78,4,14,2-Feb-09,The Possimpible,Pamela Fryman,Jonathan Groff,10.3,8.4,2551
79,4,15,2-Mar-09,The Stinsons,Pamela Fryman,"Carter Bays,Craig Thomas",11.08,8.3,2604
80,4,16,9-Mar-09,"Sorry, Bro",Pamela Fryman,"Craig Gerard,Matthew Zinman",8.51,7.8,2466
81,4,17,16-Mar-09,The Front Porch,Rob Greenberg,Chris Harris,9.29,,2550
82,4,18,23-Mar-09,Old King Clancy,Pamela Fryman,Jamie Rhonheimer,7.36,7.7,2352
83,4,19,30-Mar-09,Murtaugh,Pamela Fryman,Joe Kelly,9.2,8.5,2551
84,4,20,13-Apr-09,Mosbius Designs,Pamela Fryman,Kourtney Kang,9.56,7.7,2380
85,4,21,27-Apr-09,The Three Days Rule,Pamela Fryman,Greg Malins,8.87,8.7,2660
86,4,22,4-May-09,"Right Place, Right Time",Pamela Fryman,Stephen Lloyd,8.89,8.2,2472
87,4,23,11-May-09,As Fast as She Can,Pamela Fryman,"Carter Bays,Craig Thomas",8.7,7.7,2396
88,4,24,18-May-09,The Leap,Pamela Fryman,"Carter Bays,Craig Thomas",8.73,8.8,2827
89,5,1,21-Sep-09,Definitions,Pamela Fryman,"Carter Bays,Craig Thomas",9.09,8.5,2727
90,5,2,28-Sep-09,Double Date,Pamela Fryman,Matt Kuhn,8.73,8.1,2446
91,5,3,5-Oct-09,Robin 101,Pamela Fryman,"Carter Bays,Craig Thomas",8.23,8.4,2526
92,5,4,12-Oct-09,The Sexless Innkeeper,Pamela Fryman,Kourtney Kang,8.56,8,2580
93,5,5,19-Oct-09,Duel Citizenship,Pamela Fryman,Chuck Tatham,8.07,7.8,2393
94,5,6,2-Nov-09,Bagpipes,Pamela Fryman,Robia Rashid,8.82,7.8,2318
95,5,7,9-Nov-09,The Rough Patch,Pamela Fryman,Chris Harris,8.82,7.8,2446
96,5,8,16-Nov-09,The Playbook,Pamela Fryman,"Carter Bays,Craig Thomas",8.44,9.4,5262
97,5,9,23-Nov-09,Slapsgiving 2: Revenge of the Slap,Pamela Fryman,Jamie Rhonheimer,8.75,8,2533
98,5,10,7-Dec-09,The Window,Pamela Fryman,Joe Kelly,8.79,8.1,2467
99,5,11,14-Dec-09,Last Cigarette Ever,Pamela Fryman,Theresa Mulligan Rosenthal,9.65,7.8,2584
100,5,12,11-Jan-10,Girls Versus Suits,Pamela Fryman,"Carter Bays,Craig Thomas",9.78,9.1,4141
101,5,13,18-Jan-10,Jenkins,Neil Patrick Harris,Greg Malins,10.52,8.6,2717
102,5,14,1-Feb-10,Perfect Week,Pamela Fryman,"Craig Gerard,Matthew Zinman",9.28,8.9,2947
103,5,15,8-Feb-10,Rabbit or Duck,Pamela Fryman,"Carter Bays,Craig Thomas",10,8,2426
104,5,16,1-Mar-10,Hooked,Pamela Fryman,Kourtney Kang,10.37,7.8,2382
105,5,17,8-Mar-10,Of Course,Pamela Fryman,Matt Kuhn,10.06,8.3,2664
106,5,18,22-Mar-10,Say Cheese,Pamela Fryman,Robia Rashid,8.37,8.2,2444
107,5,19,12-Apr-10,Zoo or False,Pamela Fryman,Stephen Lloyd,6.88,7.6,2384
108,5,20,19-Apr-10,Home Wreckers,Pamela Fryman,Chris Harris,7.71,7.9,2372
109,5,21,3-May-10,Twin Beds,Pamela Fryman,Theresa Mulligan Rosenthal,7.7,7.8,2316
110,5,22,10-May-10,Robots Versus Wrestlers,Rob Greenberg,Jamie Rhonheimer,8.16,8.2,2454
111,5,23,17-May-10,The Wedding Bride,Pamela Fryman,Stephen Lloyd,7.69,8.1,2590
112,5,24,24-May-10,Doppelgangers,Pamela Fryman,"Carter Bays,Craig Thomas",8.18,8.5,2508
113,6,1,20-Sep-10,Big Days,Pamela Fryman,"Carter Bays,Craig Thomas",8.79,8.2,2620
114,6,2,27-Sep-10,Cleaning House,Pamela Fryman,Stephen Lloyd,9,8.3,2619
115,6,3,4-Oct-10,Unfinished,Pamela Fryman,Jamie Rhonheimer,8.6,7.8,2342
116,6,4,11-Oct-10,Subway Wars,Pamela Fryman,Chris Harris,8.48,8.6,2698
117,6,5,18-Oct-10,Architect of Destruction,Pamela Fryman,"Carter Bays,Craig Thomas",8.05,7.8,2296
118,6,6,25-Oct-10,Baby Talk,Pamela Fryman,Joe Kelly,8.29,7.7,2307
119,6,7,1-Nov-10,Canning Randy,Pamela Fryman,Chuck Tatham,8.88,7.7,2272
120,6,8,8-Nov-10,Natural History,Pamela Fryman,"Carter Bays,Craig Thomas",8.87,8.1,2383
121,6,9,15-Nov-10,Glitter,Pamela Fryman,Kourtney Kang,8.87,8.6,2804
122,6,10,22-Nov-10,Blitzgiving,Pamela Fryman,Theresa Mulligan Rosenthal,8.73,9.1,3762
123,6,11,6-Dec-10,The Mermaid Theory,Pamela Fryman,Robia Rashid,9.26,8,2416
124,6,12,13-Dec-10,False Positive,Pamela Fryman,"Craig Gerard,Matthew Zinman",9.7,8.2,2368
125,6,13,3-Jan-11,Bad News,Pamela Fryman,Jennifer Hendriks,10.15,8.9,3414
126,6,14,17-Jan-11,Last Words,Pamela Fryman,"Carter Bays,Craig Thomas",10.54,8.6,2830
127,6,15,7-Feb-11,Oh Honey,Pamela Fryman,"Carter Bays,Craig Thomas",10,8.8,3174
128,6,16,14-Feb-11,Desperation Day,Pamela Fryman,Tami Sagher,9.51,8.1,2327
129,6,17,21-Feb-11,Garbage Island,Michael Shea,Tom Ruprecht,9.33,7.7,2200
130,6,18,28-Feb-11,A Change of Heart,Pamela Fryman,Matt Kuhn,9.24,8.3,2411
131,6,19,21-Mar-11,Legendaddy,Pamela Fryman,"Dan Gregor,Doug Mand",8.03,8.3,2543
132,6,20,11-Apr-11,The Exploding Meatball Sub,Pamela Fryman,Stephen Lloyd,6.87,7.7,2225
133,6,21,18-Apr-11,Hopeless,Pamela Fryman,Chris Harris,6.49,8,2225
134,6,22,2-May-11,The Perfect Cocktail,Pamela Fryman,Joe Kelly,6.77,7.9,2240
135,6,23,9-May-11,Landmarks,Pamela Fryman,"Carter Bays,Craig Thomas",6.41,7.8,2182
136,6,24,16-May-11,Challenge Accepted,Pamela Fryman,"Carter Bays,Craig Thomas",7.15,8.5,2565
137,7,1,19-Sep-11,The Best Man,Pamela Fryman,"Carter Bays,Craig Thomas",11,8.6,3262
138,7,2,19-Sep-11,The Naked Truth,Pamela Fryman,Stephen Lloyd,12.22,8.1,2587
139,7,3,26-Sep-11,Ducky Tie,Rob Greenberg,"Carter Bays,Craig Thomas",10.5,8.9,3260
140,7,4,3-Oct-11,The Stinson Missile Crisis,Pamela Fryman,Kourtney Kang,10.39,8.1,2440
141,7,5,10-Oct-11,Field Trip,Pamela Fryman,Jamie Rhonheimer,8.89,7.5,2315
142,7,6,17-Oct-11,Mystery vs. History,Pamela Fryman,Chuck Tatham,9.81,7.8,2416
143,7,7,24-Oct-11,Noretta,Pamela Fryman,Matt Kuhn,9.87,7.7,2411
144,7,8,31-Oct-11,The Slutty Pumpkin Returns,Pamela Fryman,Tami Sagher,10.49,7.5,2478
145,7,9,7-Nov-11,Disaster Averted,Michael Shea,Robia Rashid,10.28,8.3,2584
146,7,10,14-Nov-11,Tick Tick Tick…,Pamela Fryman,Chris Harris,10.42,9,3642
147,7,11,21-Nov-11,The Rebound Girl,Pamela Fryman,"Carter Bays,Craig Thomas",10.01,8,2456
148,7,12,5-Dec-11,Symphony of Illumination,Pamela Fryman,Joe Kelly,11.51,8.8,3302
149,7,13,2-Jan-12,Tailgate,Pamela Fryman,"Carter Bays,Craig Thomas",10.14,7.8,2452
150,7,14,16-Jan-12,46 Minutes,Pamela Fryman,"Dan Gregor,Doug Mand",10.08,7.7,2522
151,7,15,6-Feb-12,The Burning Beekeeper,Pamela Fryman,"Carter Bays,Craig Thomas",9.98,7.3,2660
152,7,16,13-Feb-12,The Drunk Train,Pamela Fryman,"Craig Gerard,Matthew Zinman",9.01,8.1,2517
153,7,17,20-Feb-12,No Pressure,Pamela Fryman,George Sloan,9.68,8.4,2647
154,7,18,27-Feb-12,Karma,Pamela Fryman,Stephen Lloyd,9.07,8,2330
155,7,19,19-Mar-12,The Broath,Pamela Fryman,"Carter Bays,Craig Thomas",8.15,8.6,2738
156,7,20,9-Apr-12,Trilogy Time,Pamela Fryman,Kourtney Kang,8,8.6,2629
157,7,21,16-Apr-12,Now We're Even,Pamela Fryman,Chuck Tatham,7.24,8,2254
158,7,22,30-Apr-12,Good Crazy,Pamela Fryman,"Carter Bays,Craig Thomas",7.99,7.8,2189
159,7,23,14-May-12,"The Magician's Code, Part 1",Pamela Fryman,Jennifer Hendriks,8.58,8.5,2650
160,7,24,14-May-12,"The Magician's Code, Part 2",Pamela Fryman,"Carter Bays,Craig Thomas",8.58,8.9,3097
161,8,1,24-Sep-12,Farhampton,Pamela Fryman,"Carter Bays,Craig Thomas",8.84,8.6,4102
162,8,2,1-Oct-12,The Pre-Nup,Pamela Fryman,"Carter Bays,Craig Thomas",8.17,7.4,2678
163,8,3,8-Oct-12,Nannies,Pamela Fryman,Chuck Tatham,7.82,7.4,2465
164,8,4,15-Oct-12,Who Wants to Be a Godparent?,Pamela Fryman,Matt Kuhn,7.93,7.5,2552
165,8,5,5-Nov-12,The Autumn of Break-Ups,Pamela Fryman,Kourtney Kang,7.22,7.5,2542
166,8,6,12-Nov-12,Splitsville,Pamela Fryman,Stephen Lloyd,7.95,7.6,2335
167,8,7,19-Nov-12,The Stamp Tramp,Pamela Fryman,Tami Sagher,7.45,7.4,2262
168,8,8,26-Nov-12,Twelve Horny Women,Pamela Fryman,"Eric Falconer,Romanski",8.73,7.6,2322
169,8,9,3-Dec-12,Lobster Crawl,Pamela Fryman,Barbara Adler,8.26,7.5,2302
170,8,10,10-Dec-12,The Over-Correction,Pamela Fryman,"Craig Gerard,Matthew Zinman",8.82,8.1,2380
171,8,11,17-Dec-12,"The Final Page, Part 1",Pamela Fryman,"Dan Gregor,Doug Mand",8.7,8.6,2922
172,8,12,17-Dec-12,"The Final Page, Part 2",Pamela Fryman,"Carter Bays,Craig Thomas",8.7,9.4,5373
173,8,13,14-Jan-13,Band or DJ?,Pamela Fryman,"Carter Bays,Craig Thomas",10.51,7.9,2457
174,8,14,21-Jan-13,Ring Up!,Pamela Fryman,Jennifer Hendriks,10.07,7.9,2447
175,8,15,4-Feb-13,P.S. I Love You,Pamela Fryman,"Carter Bays,Craig Thomas",10.3,8.2,2831
176,8,16,11-Feb-13,Bad Crazy,Pamela Fryman,"Carter Bays,Craig Thomas",8.98,7.6,2274
177,8,17,18-Feb-13,The Ashtray,Pamela Fryman,"Carter Bays,Craig Thomas",8.85,7.8,2295
178,8,18,25-Feb-13,Weekend at Barney's,Pamela Fryman,George Sloan,8.59,8.1,2484
179,8,19,18-Mar-13,The Fortress,Michael Shea,Stephen Lloyd,7.44,8,2278
180,8,20,25-Mar-13,The Time Travelers,Pamela Fryman,"Carter Bays,Craig Thomas",6.99,8.3,3610
181,8,21,15-Apr-13,Romeward Bound,Pamela Fryman,Chuck Tatham,6.58,7.4,2228
182,8,22,29-Apr-13,The Bro Mitzvah,Pamela Fryman,Chris Harris,7.06,8.7,2957
183,8,23,6-May-13,Something Old,Pamela Fryman,"Carter Bays,Craig Thomas",6.99,7.6,2405
184,8,24,13-May-13,Something New,Pamela Fryman,"Carter Bays,Craig Thomas",8.57,8.8,3421
185,9,1,23-Sep-13,The Locket,Pamela Fryman,"Carter Bays,Craig Thomas",9.4,7.8,3194
186,9,2,23-Sep-13,Coming Back,Pamela Fryman,"Carter Bays,Craig Thomas",9.4,7.7,2787
187,9,3,30-Sep-13,Last Time in New York,Pamela Fryman,"Craig Gerard,Matthew Zinman",7.87,7.6,2646
188,9,4,7-Oct-13,The Broken Code,Pamela Fryman,Matt Kuhn,7.53,7.3,2550
189,9,5,14-Oct-13,The Poker Game,Pamela Fryman,"Dan Gregor,Doug Mand",7.98,7.2,2531
190,9,6,21-Oct-13,Knight Vision,Pamela Fryman,Chris Harris,7.64,7.5,2510
191,9,7,28-Oct-13,No Questions Asked,Pamela Fryman,Stephen Lloyd,7.63,7.4,2546
192,9,8,4-Nov-13,The Lighthouse,Pamela Fryman,Rachel Axler,8.67,7.3,2570
193,9,9,11-Nov-13,Platonish,Pamela Fryman,George Sloan,8.08,8.3,2947
194,9,10,18-Nov-13,Mom and Dad,Pamela Fryman,"Carter Bays,Craig Thomas",8.11,6.8,2672
195,9,11,25-Nov-13,Bedtime Stories,Pamela Fryman,"Carter Bays,Craig Thomas",7.64,5.7,4422
196,9,12,2-Dec-13,The Rehearsal Dinner,Pamela Fryman,Chuck Tatham,8.04,7.8,2793
197,9,13,16-Dec-13,Bass Player Wanted,Pamela Fryman,"Carter Bays,Craig Thomas",7.71,8.3,2860
198,9,14,13-Jan-14,Slapsgiving 3: Slappointment in Slapmarra,Pamela Fryman,"Carter Bays,Craig Thomas",8.59,5.9,4509
199,9,15,20-Jan-14,Unpause,Pamela Fryman,Chris Harris,8.83,8.4,2983
200,9,16,27-Jan-14,How Your Mother Met Me,Pamela Fryman,"Carter Bays,Craig Thomas",10.81,9.5,8123
201,9,17,3-Feb-14,Sunrise,Pamela Fryman,"Carter Bays,Craig Thomas",9.98,8.2,3118
202,9,18,24-Feb-14,Rally,Pamela Fryman,"Carter Bays,Craig Thomas",9.28,8,2570
203,9,19,3-Mar-14,Vesuvius,Pamela Fryman,Barbara Adler,9.11,7.7,2615
204,9,20,10-Mar-14,Daisy,Pamela Fryman,"Carter Bays,Craig Thomas",7.7,8.5,2890
205,9,21,17-Mar-14,Gary Blauman,Pamela Fryman,Kourtney Kang,7.78,8.3,2981
206,9,22,24-Mar-14,The End of the Aisle,Pamela Fryman,"Carter Bays,Craig Thomas",9.04,8.9,3848
207,9,23,31-Mar-14,"Last Forever, Part 1",Pamela Fryman,"Carter Bays,Craig Thomas",13.13,6.7,8625
208,9,24,31-Mar-14,"Last Forever, Part 2",Pamela Fryman,"Carter Bays,Craig Thomas",13.13,5.5,15760
